name,layer,watershed,species,b1,spawning_trib,private_flag,lat,lng,coord_source,confidence,source_ref,notes
Winooski River (above Lower Cabot),b1_water,Winooski mainstem & direct tributaries,BKT,yes,no,no,44.401532,-72.313661,VFWD 2017 Table 6,high,Table 6 p.6; narrative p.1,Wild brookies abundant in the mainstem above Cabot village; habitat deteriorates below the village where riparian cover is thin.
Molly's Brook (above Marshfield Dam),b1_water,Winooski mainstem & direct tributaries,"BKT, BNT",yes,no,no,44.370495,-72.270039,VFWD 2017 Table 6,high,Table 6 p.6; narrative p.16,"B1 above Molly's Falls Reservoir; wild brook and brown trout, occasional rainbows."
Kidders (Hooker) Brook,b1_water,Winooski mainstem & direct tributaries,"BKT, BNT",yes,no,no,44.37392,-72.261009,VFWD 2017 Table 6,high,Table 6 p.6; narrative p.16,Enters Molly's Brook in South Cabot; wild brook and brown trout.
Nasmith Brook,b1_water,Winooski mainstem & direct tributaries,"BKT, BNT, RBT",yes,yes,no,44.299742,-72.387648,VFWD 2017 Table 6,high,Table 6 p.6; narrative p.16,Enters the mainstem in Marshfield; important spawning tributary for mainstem trout.
Great Brook (Plainfield),b1_water,Winooski mainstem & direct tributaries,"BKT, BNT, RBT",yes,yes,no,44.231992,-72.406267,VFWD 2017 Table 6,high,Table 6 p.6; narrative p.17,Enters the mainstem in Plainfield; important spawning tributary.
Jones Brook,b1_water,Winooski mainstem & direct tributaries,"BKT, RBT",yes,yes,no,44.248972,-72.654826,VFWD 2017 Table 6,high,Table 6 p.6; narrative p.17,Enters the mainstem in Montpelier; important spawning tributary; occasional browns.
Crossett Brook,b1_water,Winooski mainstem & direct tributaries,"BKT, BNT, RBT",yes,yes,no,44.32805,-72.747014,VFWD 2017 Table 6,high,Table 6 p.6; narrative p.17,Enters the mainstem in Waterbury; important spawning tributary.
Thatcher Brook,b1_water,Winooski mainstem & direct tributaries,"BKT, BNT, RBT",yes,yes,no,44.3409,-72.75139,VFWD 2017 Table 6,high,Table 6 p.6; narrative p.17,Enters the mainstem in Waterbury; the narrative calls it an important spawning tributary.
Dugar Brook,b1_water,Kingsbury Branch,BKT,yes,no,no,44.393344,-72.467825,VFWD 2017 Table 7,high,Table 7 p.6; narrative p.9,Enters Pekin Brook in North Calais; brook trout and burbot.
Jail Branch,b1_water,Stevens Branch,BKT,yes,no,no,44.105767,-72.430317,VFWD 2017 Table 8,high,Table 8 p.6; narrative p.10,"B1 above Washington; brookies only in the upper reaches, mixed with relatively large wild browns lower down toward East Barre."
Gunners Brook,b1_water,Stevens Branch,"BKT, BNT, RBT",yes,yes,no,44.205447,-72.506175,VFWD 2017 Table 8,high,Table 8 p.6; narrative p.10,Important spawning tributary for Stevens Branch trout.
Stevens Branch,b1_water,Stevens Branch,BKT,yes,no,no,44.132939,-72.533325,VFWD 2017 Table 8,high,Table 8 p.6; narrative p.10,"B1 from Williamstown upstream; brookies only above Route 63 in South Barre, mixed below."
Martins Brook,b1_water,North Branch,"BKT, BNT",yes,no,no,44.353128,-72.606703,VFWD 2017 Table 9,high,Table 9 p.6; narrative p.12,Wild brook and brown trout.
Herrick Brook,b1_water,North Branch,"BKT, BNT",yes,no,no,44.346283,-72.609164,VFWD 2017 Table 9,high,Table 9 p.6; narrative p.12,Wild brook and brown trout.
Dog River mainstem,b1_water,Dog River,"BKT, BNT, RBT",yes,no,no,44.246156,-72.599111,VFWD 2017 Table 10,high,Table 10 p.7; narrative p.13,"Whole mainstem is B1 and managed as wild trout water; brookies only above Route 12A in Roxbury, mixed below, browns/rainbows dominate below Northfield Falls. Reduced-harvest regs on a 4.3-mile stretch in Berlin (verify current regs). Point is near the mouth."
Felchner Brook,b1_water,Dog River,BKT,yes,no,no,44.125128,-72.715756,VFWD 2017 Table 10,high,Table 10 p.7; narrative p.13,Brookies only above the falls; browns join below.
Stony Brook (Roxbury),b1_water,Dog River,"BKT, BNT, RBT",yes,no,no,44.119219,-72.681664,VFWD 2017 Table 10,high,Table 10 p.7; narrative p.13,Wild trout; upper Dog River valley.
Bull Run,b1_water,Dog River,"BKT, BNT, RBT",yes,no,no,44.117139,-72.672956,VFWD 2017 Table 10,high,Table 10 p.7; narrative p.13,"Wild brook, brown and rainbow trout."
Sunny Brook (Roxbury),b1_water,Dog River,"BKT, BNT, RBT",yes,no,no,44.120875,-72.658308,VFWD 2017 Table 10,high,Table 10 p.7; narrative p.13,"Wild brook, brown and rainbow trout."
Robinson Brook,b1_water,Dog River,"BKT, BNT, RBT",yes,no,no,44.116064,-72.642978,VFWD 2017 Table 10,high,Table 10 p.7; narrative p.13,"Wild brook, brown and rainbow trout."
Union Brook,b1_water,Dog River,BKT,yes,no,no,44.157722,-72.677042,VFWD 2017 Table 10,high,Table 10 p.7; narrative p.13,Wild brook trout; Northfield.
Chase Brook (Dog River),b1_water,Dog River,"BKT, BNT, RBT",yes,yes,no,44.206727,-72.636622,VFWD 2017 Table 10,high,Table 10 p.7; narrative p.13-14,Managed as rainbow spawning water; closed to fishing until June 1 under special regs (verify current regs). Not the Fayston Chase Brook.
Mad River (above Warren Village),b1_water,Mad River,BKT,yes,no,no,44.112005,-72.8559474,Google Places (Warren village) — report coordinate rejected,low,Table 11 p.7; narrative p.14-15,"REPORT COORDINATE PROBLEM: Table 11 gives 44.175722, -72.661631, which lands in the Dog River valley about 10 miles east — almost certainly a transcription error. Plotted at Warren village instead; say this in the popup. Report: the upper Mad above Warren Village has excellent high-gradient forested habitat and some of the highest trout numbers in the watershed, mostly wild brookies with occasional rainbows, managed for wild trout. Below Warren, warmer water and habitat limit trout to big pools and tributary mouths; rainbows stocked from Warren to the Moretown 8 dam; dams in Warren and Moretown fragment habitat."
Bradley Brook,b1_water,Mad River,BKT,yes,no,no,44.11949,-72.85795,VFWD 2017 Table 11,high,Table 11 p.7; narrative p.15,Wild brook trout; enters the Mad near Warren village.
Clay Brook,b1_water,Mad River,BKT,yes,no,no,44.13515,-72.895369,VFWD 2017 Table 11,high,Table 11 p.7; narrative p.15,"Wild brook trout. Crashed after a 1998 flood, recovered by 2000, then over 1,000 trout/mile every year 2001-2016 (had once been listed as impaired). Point is up near the Sugarbush base; brook follows Sugarbush Access Rd."
Rice Brook,b1_water,Mad River,BKT,yes,no,no,44.138231,-72.891653,VFWD 2017 Table 11,high,Table 11 p.7; narrative p.15,Wild brook trout; Sugarbush area.
Mill Brook (Fayston),b1_water,Mad River,"BKT, RBT",yes,no,no,44.194164,-72.889842,VFWD 2017 Table 11,high,Table 11 p.7; narrative p.15,Wild brook and rainbow trout; parallels Route 17 toward Mad River Glen.
Chase Brook (Fayston),b1_water,Mad River,BKT,yes,no,no,44.178856,-72.884308,VFWD 2017 Table 11,high,Table 11 p.7; narrative p.15,Wild brook trout; German Flats Rd area / Chase Brook Town Forest. Not the Dog River Chase Brook.
Slide Brook,b1_water,Mad River,BKT,yes,no,no,44.167197,-72.887525,VFWD 2017 Table 11,high,Table 11 p.7; narrative p.15,Wild brook trout; the basin between Lincoln Peak and Mt Ellen.
Shepard Brook,b1_water,Mad River,"BKT, BNT, RBT",yes,no,no,44.236758,-72.821114,VFWD 2017 Table 11,high,Table 11 p.7; narrative p.15,"Wild brook, brown and rainbow trout; northern Fayston, enters the Mad between Waitsfield and Moretown. Upper brook is crossed by the Hedgehog Brook Trail at the Big Basin Rd trailhead."
Dowsville Brook,b1_water,Mad River,"BKT, BNT, RBT",yes,no,no,44.273039,-72.824189,VFWD 2017 Table 11,high,Table 11 p.7; narrative p.15,"Wild brook, brown and rainbow trout; Duxbury/Moretown, along Dowsville Rd."
Little River - West Branch,b1_water,Little River,BKT,yes,no,no,44.523892,-72.774686,VFWD 2017 Table 12,high,Table 12 p.7; narrative p.16,"Brookies above the Ranch Brook confluence, brook + brown below; Stowe Mountain Resort withdraws water for snowmaking."
Ranch Brook,b1_water,Little River,BKT,yes,no,no,44.502097,-72.758717,VFWD 2017 Table 12,high,Table 12 p.7; narrative p.16,Wild brook trout.
Austin Brook,narrative_only,Mad River,"BKT, RBT",no,no,no,44.0559029,-72.8727285,Google Places 2026-09-23,medium,narrative p.15,Wild brook and rainbow trout (report gives no coordinate). Headwater brook off Route 100 south of Warren; the USFS Austin Brook Trail follows Forest Road 25 up the brook for about 2 miles.
Stetson Brook,narrative_only,Mad River,"BKT, RBT",no,no,no,44.080840,-72.859153,"geocoded 2026-09-24: VHD line, downstream end (no Nominatim hit)",low,narrative p.15,Wild brook and rainbow trout. Joins the Mad near Austin Brook (Warren/Granville).
Freeman Brook,narrative_only,Mad River,"BKT, RBT",no,no,yes,44.1035075,-72.8327651,Google Places 2026-09-23,medium,narrative p.15,"Wild brook and rainbow trout. East side of the valley, closest brook to the inn. A Google review says 'Private' — access unknown, ask first."
Lincoln Brook,narrative_only,Mad River,BKT,no,no,no,44.091263,-72.9120374,Google Places 2026-09-23,medium,narrative p.15,"Wild brook trout. Follows Lincoln Gap Rd (unpaved near the top, closed in winter). 2019 culvert replacement on Lincoln Gap Rd reconnected headwater habitat (Valley Reporter 2019-06-28, https://www.valleyreporter.com/index.php/news/local-news/13423-mad-river-watching-and-fishing)."
Folsom Brook,narrative_only,Mad River,"BKT, BNT, RBT",no,no,no,44.127713,-72.789600,"geocoded 2026-09-24: VHD line, downstream end (Nominatim OSM waterway agrees)",low,narrative p.15,"Wild brook, brown and rainbow trout; Waitsfield, east side."
High Bridge Brook,narrative_only,Mad River,"BKT, BNT, RBT",no,no,no,44.176296,-72.778510,"geocoded 2026-09-24: VHD line, downstream end (Nominatim OSM waterway agrees)",low,narrative p.15,"Wild brook, brown and rainbow trout; last surveyed 1959."
Pine Brook,narrative_only,Mad River,"BKT, RBT",no,no,no,44.161712,-72.775716,"geocoded 2026-09-24: VHD line, downstream end (Nominatim OSM waterway agrees)",low,narrative p.15,"Brookies, with rainbows in the lower reaches; last surveyed 1959. Waitsfield, east side."
Welder Brook,narrative_only,Mad River,BKT,no,no,no,44.287302,-72.800323,"geocoded 2026-09-24: VHD line, downstream end (no Nominatim hit)",low,narrative p.15,Wild brook trout.
Mills Brook,narrative_only,Mad River,no data,no,no,no,44.0801222,-72.8378808,Google Places (Blueberry Lake parking) 2026-09-24,low,narrative p.15,"Listed in the report with no VFWD data. Blueberry Lake in East Warren is a dam on Mills Brook, so the outlet brook starts at the lake; the lake itself gets stocked brook trout (report p.8, USFS access). Move the pin to the outlet below the dam."
Cox Brook,narrative_only,Dog River,"BKT, RBT",no,no,no,44.234920,-72.716007,"geocoded 2026-09-24: VHD line, downstream end (Nominatim OSM waterway agrees)",low,narrative p.13,Wild brook and rainbow trout; a dam above the mouth was removed in 2008 for fish passage.
