river,elev_ft,lat,lng,years,max_temp_F,max_7day_avg_F,source_ref
Winooski River,1160,44.42369200,-72.30794900,2015,68.0,66.3,Table 1 p.2
Winooski River,895,44.38270000,-72.33289000,2015,76.6,74.6,Table 1 p.2
Winooski River,840,44.35985556,-72.33658611,2015,77.8,76.0,Table 1 p.2
Winooski River,650,44.26122778,-72.49819167,2015;2004,80.2,77.8,Table 2 p.3
Winooski River,505,44.25605833,-72.59720556,2015;2004,81.0,79.3,Table 3 p.4
Winooski River,498,44.27397778,-72.64825000,2004,80.2,76.2,Table 4 p.4
Winooski River,420,44.31390278,-72.70303056,2015;2004,79.3,78.0,Table 5 p.5
Kingsbury Branch,895,44.38494000,-72.41774000,2006,81.6,80.1,Table 13 p.10
Kingsbury Branch,740,44.36214000,-72.43486000,2006,80.0,78.3,Table 13 p.10
Kingsbury Branch,710,44.33179444,-72.44563611,2006,78.4,75.9,Table 13 p.10
Kingsbury Branch,705,44.31816111,-72.43791944,2006,77.9,76.0,Table 13 p.10
Kingsbury Branch,660,44.28437500,-72.45315556,2006,79.5,78.1,Table 13 p.10
Stevens Branch,760,44.1333361,-72.5325306,2016;2006,72.9,69.4,Table 14 p.11
Stevens Branch,710,44.1711833,-72.5110556,2016;2006,78.1,74.5,Table 14 p.11
Stevens Branch,610,44.18932222,-72.50092778,2016;2006,75.9,71.3,Table 14 p.11
Stevens Branch,600,44.19013333,-72.50099722,2006,72.1,67.9,Table 14 p.11
Stevens Branch,570,44.2104417,-72.5163806,2016;2006,77.6,73.4,Table 14 p.11
Stevens Branch,540,44.22205833,-72.54863889,2016;2006,78.4,75.3,Table 14 p.11
Jail Branch,1210,44.11595000,-72.43007500,2016,75.8,72.6,Table 14 p.11
Jail Branch,1010,44.16333889,-72.45156667,2007,77.4,75.1,Table 14 p.11
Jail Branch,780,44.17619000,-72.46844000,2016;2006,79.2,75.1,Table 14 p.11
Jail Branch,620,44.18867000,-72.49295000,2016;2007,78.2,74.3,Table 14 p.11
North Branch,800,44.40251111,-72.55103056,2003,80.5,76.8,Table 15 p.13
North Branch,730,44.37736389,-72.54598611,2003,79.0,77.3,Table 15 p.13
North Branch,660,44.34263056,-72.56599167,2012;2003,84.0,79.5,Table 15 p.13
North Branch,570,44.30744722,-72.57683056,2012;2002,81.1,78.7,Table 15 p.13
North Branch,530,44.27938333,-72.57057778,2012;2003,86.6,82.9,Table 15 p.13
Dog River,1340,44.10578710,-72.75237770,2016;2015;2014;2012,68.1,65.7,Table 16 p.14
Dog River,805,44.11033611,-72.69125278,2016;2015;2014;2012,69.8,68.1,Table 16 p.14
Dog River,572,44.19906944,-72.63443056,2016;2015;2014;2012,74.3,72.1,Table 16 p.14
Dog River,530,44.22999000,-72.59956000,2015;2014;2012,76.3,74.0,Table 16 p.14
Dog River,515,44.24725556,-72.59983611,2016;2015;2014;2012,78.4,76.0,Table 16 p.14
