layer,name,lat,lng,type,category,watershed,species,b1,spawning_trib,private_flag,serves,parking_notes,coord_source,confidence,source_ref,source_url,notes,drive_min_from_inn,drive_src,nearest_access,river,elev_ft,years,max_temp_F,max_7day_avg_F
b1_water,Winooski River (above Lower Cabot),44.401532,-72.313661,,,Winooski mainstem & direct tributaries,BKT,yes,no,no,,,VFWD 2017 Table 6,high,Table 6 p.6; narrative p.1,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=6,Wild brookies abundant in the mainstem above Cabot village; habitat deteriorates below the village where riparian cover is thin.,68.9,OSRM,"Coits Pond (state fishing access) (552 m, 79.9 min); West Hill Pond (state fishing access) (2175 m, 73.9 min)",,,,,
b1_water,Molly's Brook (above Marshfield Dam),44.370495,-72.270039,,,Winooski mainstem & direct tributaries,"BKT, BNT",yes,no,no,,,VFWD 2017 Table 6,high,Table 6 p.6; narrative p.16,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=6,"B1 above Molly's Falls Reservoir; wild brook and brown trout, occasional rainbows.",65.8,OSRM,"Joe's Pond (state fishing access) (1401 m, 70.7 min); Marshfield Dam (state fishing access) (2569 m, 64.2 min)",,,,,
b1_water,Kidders (Hooker) Brook,44.373920,-72.261009,,,Winooski mainstem & direct tributaries,"BKT, BNT",yes,no,no,,,VFWD 2017 Table 6,high,Table 6 p.6; narrative p.16,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=6,Enters Molly's Brook in South Cabot; wild brook and brown trout.,66.3,OSRM,,,,,,
b1_water,Nasmith Brook,44.299742,-72.387648,,,Winooski mainstem & direct tributaries,"BKT, BNT, RBT",yes,yes,no,,,VFWD 2017 Table 6,high,Table 6 p.6; narrative p.16,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=6,Enters the mainstem in Marshfield; important spawning tributary for mainstem trout.,57.6,OSRM,,,,,,
b1_water,Great Brook (Plainfield),44.231992,-72.406267,,,Winooski mainstem & direct tributaries,"BKT, BNT, RBT",yes,yes,no,,,VFWD 2017 Table 6,high,Table 6 p.6; narrative p.17,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=6,Enters the mainstem in Plainfield; important spawning tributary.,61.7,OSRM,,,,,,
b1_water,Jones Brook,44.248972,-72.654826,,,Winooski mainstem & direct tributaries,"BKT, RBT",yes,yes,no,,,VFWD 2017 Table 6,high,Table 6 p.6; narrative p.17,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=6,Enters the mainstem in Montpelier; important spawning tributary; occasional browns.,37.3,OSRM,,,,,,
b1_water,Crossett Brook,44.328050,-72.747014,,,Winooski mainstem & direct tributaries,"BKT, BNT, RBT",yes,yes,no,,,VFWD 2017 Table 6,high,Table 6 p.6; narrative p.17,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=6,Enters the mainstem in Waterbury; important spawning tributary.,23.1,OSRM,,,,,,
b1_water,Thatcher Brook,44.340900,-72.751390,,,Winooski mainstem & direct tributaries,"BKT, BNT, RBT",yes,yes,no,,,VFWD 2017 Table 6,high,Table 6 p.6; narrative p.17,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=6,Enters the mainstem in Waterbury; the narrative calls it an important spawning tributary.,26.5,OSRM,,,,,,
b1_water,Dugar Brook,44.393344,-72.467825,,,Kingsbury Branch,BKT,yes,no,no,,,VFWD 2017 Table 7,high,Table 7 p.6; narrative p.9,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=6,Enters Pekin Brook in North Calais; brook trout and burbot.,67.6,OSRM,"Mirror Lake (state fishing access) (1277 m, 66.9 min); Nelson Pond (state fishing access) (2090 m, 72.5 min)",,,,,
b1_water,Jail Branch,44.105767,-72.430317,,,Stevens Branch,BKT,yes,no,no,,,VFWD 2017 Table 8,high,Table 8 p.6; narrative p.10,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=6,"B1 above Washington; brookies only in the upper reaches, mixed with relatively large wild browns lower down toward East Barre.",60.5,OSRM,,,,,,
